time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,distance,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
220.812164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031616,0.041088,0.141496,0.016602,0.001953,0.009521,0.000000,0,-230,-408,0
220.821915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031804,0.041135,0.141563,0.010010,-0.001221,0.005371,0.000000,0,-230,-408,0
220.831680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031804,0.041135,0.141563,-0.011719,0.000000,-0.001953,0.000000,0,-230,-408,0
220.841446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031678,0.041083,0.141559,-0.005371,-0.003174,0.004883,0.000000,0,-230,-408,0
220.851227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031679,0.041082,0.141620,-0.002197,0.003662,0.007080,0.000000,0,-230,-408,0
220.860992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031679,0.041082,0.141620,0.002686,0.002686,-0.005615,0.000000,0,-230,-408,0
220.870758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031862,0.041069,0.141624,0.026855,-0.000732,0.004883,0.000000,0,-230,-408,0
220.880524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031923,0.041065,0.141626,-0.021729,-0.002686,-0.004395,0.000000,0,-230,-408,0
220.890289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031862,0.041069,0.141624,-0.002197,-0.001221,-0.001953,0.000000,0,-230,-408,0
220.900055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031739,0.041079,0.141560,-0.013916,-0.002686,0.007568,0.000000,0,-230,-408,0
220.917633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031746,0.041074,0.141868,-0.010742,0.004150,-0.003418,0.000000,0,-230,-408,0
220.927383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031744,0.041075,0.141806,0.023438,0.003662,-0.008301,0.000000,0,-230,-408,0
220.937164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031805,0.041071,0.141808,0.000977,0.003662,0.001709,0.000000,0,-230,-408,0
220.946915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031810,0.041132,0.141809,0.015869,-0.002197,0.009033,0.000000,0,-230,-408,0
220.956680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031872,0.041127,0.141872,0.003662,-0.005371,0.003662,0.000000,0,-230,-408,0
220.966461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031811,0.041131,0.141870,-0.011230,0.000000,0.001709,0.000000,0,-230,-408,0
220.976227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031689,0.041140,0.141868,-0.008545,-0.002197,0.000488,0.000000,0,-230,-408,0
220.985977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031689,0.041140,0.141868,0.021240,-0.002197,0.006348,0.000000,0,-230,-408,0
220.995743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031747,0.041073,0.141929,-0.000977,0.002686,0.003662,0.000000,0,-230,-408,0
221.005508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031809,0.041068,0.141992,0.010742,0.005859,-0.003418,0.000000,0,-230,-408,0
221.015289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031873,0.041126,0.141933,-0.000977,0.001953,-0.000488,0.000000,0,-230,-408,0
