x_east_m,y_north_m,lat,lon,mnt_m,mns_m,mnh_m
150.0,260.0,48.8127856,7.8537461,142.51,142.51,0.0
160.0,260.0,48.8127856,7.8538825,142.35,142.35,0.0
170.0,260.0,48.8127856,7.8540189,142.42,142.42,0.0
180.0,260.0,48.8127856,7.8541553,142.2,142.2,0.0
190.0,260.0,48.8127856,7.8542917,142.22,142.22,0.0
200.0,260.0,48.8127856,7.8544281,142.22,142.22,0.0
210.0,260.0,48.8127856,7.8545645,142.26,142.26,0.0
220.0,260.0,48.8127856,7.854701,142.25,142.25,0.0
230.0,260.0,48.8127856,7.8548374,142.23,142.23,0.0
240.0,260.0,48.8127856,7.8549738,142.2,142.2,0.0
250.0,260.0,48.8127856,7.8551102,142.12,142.12,0.0
260.0,260.0,48.8127856,7.8552466,142.15,142.15,0.0
270.0,260.0,48.8127856,7.855383,142.25,142.25,0.0
280.0,260.0,48.8127856,7.8555194,142.32,142.32,0.0
290.0,260.0,48.8127856,7.8556558,142.24,142.24,0.0
300.0,260.0,48.8127856,7.8557922,142.16,142.16,0.0
-300.0,250.0,48.8126958,7.8476078,143.32,150.48,7.17
-290.0,250.0,48.8126958,7.8477442,143.48,155.71,12.23
-280.0,250.0,48.8126958,7.8478806,143.79,153.5,9.71
-270.0,250.0,48.8126958,7.848017,143.8,154.38,10.58
-260.0,250.0,48.8126958,7.8481534,143.88,154.14,10.26
-250.0,250.0,48.8126958,7.8482898,143.58,154.5,10.92
-240.0,250.0,48.8126958,7.8484262,143.6,146.54,2.94
-230.0,250.0,48.8126958,7.8485626,143.19,156.05,12.86
-220.0,250.0,48.8126958,7.848699,143.52,148.09,4.57
-210.0,250.0,48.8126958,7.8488355,143.13,161.39,18.26
-200.0,250.0,48.8126958,7.8489719,143.4,143.38,-0.02
-190.0,250.0,48.8126958,7.8491083,143.09,144.06,0.97
-180.0,250.0,48.8126958,7.8492447,143.03,146.98,3.95
-170.0,250.0,48.8126958,7.8493811,143.08,143.08,0.0
-160.0,250.0,48.8126958,7.8495175,142.82,143.29,0.47
-150.0,250.0,48.8126958,7.8496539,142.86,144.42,1.55
-140.0,250.0,48.8126958,7.8497903,142.86,142.86,0.0
-130.0,250.0,48.8126958,7.8499267,142.88,146.14,3.27
-120.0,250.0,48.8126958,7.8500631,142.79,148.08,5.3
-110.0,250.0,48.8126958,7.8501995,142.81,142.82,0.01
-100.0,250.0,48.8126958,7.8503359,142.83,149.45,6.63
-90.0,250.0,48.8126958,7.8504723,142.77,151.87,9.09
-80.0,250.0,48.8126958,7.8506087,142.6,142.6,0.0
-70.0,250.0,48.8126958,7.8507452,142.64,142.64,0.0
-60.0,250.0,48.8126958,7.8508816,142.65,142.65,0.0
-50.0,250.0,48.8126958,7.851018,142.62,142.62,0.0
-40.0,250.0,48.8126958,7.8511544,142.62,142.62,0.0
-30.0,250.0,48.8126958,7.8512908,143.47,153.97,10.5
-20.0,250.0,48.8126958,7.8514272,142.57,158.07,15.5
-10.0,250.0,48.8126958,7.8515636,142.52,159.01,16.48
0.0,250.0,48.8126958,7.8517,142.49,158.55,16.06
10.0,250.0,48.8126958,7.8518364,142.52,157.67,15.15
20.0,250.0,48.8126958,7.8519728,142.67,142.67,0.0
30.0,250.0,48.8126958,7.8521092,142.86,144.12,1.26
40.0,250.0,48.8126958,7.8522456,142.61,142.61,0.0
50.0,250.0,48.8126958,7.852382,142.57,151.73,9.16
60.0,250.0,48.8126958,7.8525184,142.63,143.16,0.53
70.0,250.0,48.8126958,7.8526548,142.74,142.74,0.0
80.0,250.0,48.8126958,7.8527913,142.64,142.64,0.0
90.0,250.0,48.8126958,7.8529277,142.76,142.76,0.0
100.0,250.0,48.8126958,7.8530641,142.51,142.51,0.0
110.0,250.0,48.8126958,7.8532005,142.62,142.62,0.0
120.0,250.0,48.8126958,7.8533369,142.65,142.65,0.0
130.0,250.0,48.8126958,7.8534733,142.38,150.74,8.36
140.0,250.0,48.8126958,7.8536097,142.48,142.48,0.0
150.0,250.0,48.8126958,7.8537461,142.31,142.31,0.0
160.0,250.0,48.8126958,7.8538825,142.36,142.36,0.0
170.0,250.0,48.8126958,7.8540189,142.3,142.3,0.0
180.0,250.0,48.8126958,7.8541553,142.33,142.33,0.0
190.0,250.0,48.8126958,7.8542917,142.24,142.24,0.0
200.0,250.0,48.8126958,7.8544281,142.2,142.2,0.0
210.0,250.0,48.8126958,7.8545645,142.29,142.29,0.0
220.0,250.0,48.8126958,7.854701,142.12,142.12,0.0
230.0,250.0,48.8126958,7.8548374,142.22,142.22,0.0
240.0,250.0,48.8126958,7.8549738,142.09,142.09,0.0
250.0,250.0,48.8126958,7.8551102,142.03,142.03,0.0
260.0,250.0,48.8126958,7.8552466,142.25,142.25,0.0
