Msg_id: 1, Timestamp: 238.593255, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.593268, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.600256, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.600281, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.600294, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.600424, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.600441, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.600454, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.600585, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.600601, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.600613, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.600802, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.600820, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.600833, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.602734, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.602755, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.602769, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.605544, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.605571, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.605583, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.608024, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.608049, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.608061, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.610724, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.610749, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.610762, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.613335, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.613361, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.613400, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.615862, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.615884, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.615897, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.618459, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.618474, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.618479, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.621098, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.621104, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.621107, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.623700, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.623705, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.623708, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.626361, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.626365, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.626368, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.628970, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.628975, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.628978, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.631599, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.631609, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.631613, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.634220, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.634225, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.634228, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.636914, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.636919, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.636922, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.639587, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.639592, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.639595, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.642278, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.642284, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.642287, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.644834, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.644839, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.644842, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.647488, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.647493, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.647496, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.650207, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.650255, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.650270, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.652732, Beacon ID: 1632, Seen Count: 2
