time,ACT_1,ACT_2,ACT_3,ACT_4,ACT_5,ACT_6,rate_p,rate_q,rate_r,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,g1g2[1][4], g1g2[1][5],  g1g2[2][4], g1g2[2][5],airspeed,guidance_cmd.phi, guidance_cmd.theta, guidance_cmd.psi,sp_accel.x, sp_accel.y, sp_accel.z,speed_sp.x, speed_sp.y, speed_sp.z,use_increment,cmd_roll,cmd_pitch,cmd_thrust,cmd_psi
12.058134,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1135.882568,1243.887329,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.009138,-0.005135,0.001870,-0.008662,-0.004001,0.004001,0.000201,0.000201,0.159396,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.060088,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1118.030640,1225.845703,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.023438,0.000000,0.000000,0.003670,-0.005135,0.001870,-0.008662,-0.004001,0.004001,0.000201,0.000201,0.159396,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.062042,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1100.600220,1208.451416,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.023438,0.000000,0.000000,0.003771,-0.005135,0.001870,-0.008662,-0.004001,0.004001,0.000201,0.000201,0.159396,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.063996,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1083.579102,1191.462769,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.023438,0.000000,0.000000,0.003729,-0.005135,0.001870,-0.008662,-0.004001,0.004001,0.000201,0.000201,0.159396,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.065950,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1066.994385,1174.903809,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.023438,0.000000,0.000000,0.003725,-0.005135,0.001870,-0.008662,-0.004001,0.004001,0.000201,0.000201,0.159396,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.067904,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1050.859619,1158.806763,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.023438,0.000000,0.000000,0.003731,-0.005135,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.032758,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.069858,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1035.236938,1143.422974,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.023438,0.000000,0.000000,-0.002062,-0.005135,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.032758,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.071812,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1020.088135,1128.303589,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.023438,0.000000,0.000000,-0.002062,-0.005135,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.032758,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.073766,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1005.461243,1113.713501,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.023438,0.000000,0.000000,-0.001896,-0.005135,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.032758,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.075720,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-985.960144,1105.094482,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.023438,0.000000,0.000000,-0.001944,-0.005135,0.001870,-0.008723,-0.004000,0.004000,0.000200,0.000200,0.032758,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008733
